Name,Ukrainian,Russian
SIMFEROPOL,6.35,85.82
ALUSHTA,9.67,83.68
DZHANKOI,7.6,83.14
YEVPATORIIA,8.73,83.69
KERCH,5.27,91.34
KRASNOPEREKOPSK,16.48,79.62
SAKY,8.87,84.26
ARMIANSK,16.9,78.52
FEODOSIIA,7.35,87.32
SUDAK,8.42,71.45
YALTA,10.12,86.79
BAKHCHYSARAISKYI,8.21,69.3
BILOHIRSKYI,7.92,60.43
DZHANKOISKYI,15.84,62.04
KIROVSKYI,8.38,64.18
KRASNOHVARDIISKYI,11.94,69.42
KRASNOPEREKOPSKYI,26.78,53.26
LENINSKYI,10.57,70.39
NYZHNOHIRSKYI,10.47,72.72
PERVOMAISKYI,19.27,58.44
ROZDOLNENSKYI,20.84,63.97
SAKSKYI,16.91,64.48
SIMFEROPOLSKYI,9.62,66.95
SOVIETSKYI,10.38,64.37
CHORNOMORSKYI,14.81,70.94
VINNYTSIA,84.73,14.36
ZHMERYNKA,90.81,8.51
MOHYLIV-PODILSKYI,92.31,7.01
KOZIATYN,94.88,4.76
LADYZHYN,88.35,11.25
KHMILNYK,97.12,2.59
BARSKYI,97.4,2.36
BERSHADSKYI,97.17,2.48
VINNYTSKYI,97.57,2.04
HAISYNSKYI,96.28,3.46
ZHMERYNSKYI,97.67,2.06
ILLINETSKYI,98.1,1.35
KOZIATYNSKYI,98.33,1.25
KALYNIVSKYI,97.75,1.97
KRYZHOPILSKYI,98.78,0.92
LYPOVETSKYI,98.78,1.08
LITYNSKYI,98.5,1.35
MOHYLIV-PODILSKYI,98.19,1.55
MUROVANOKURYLOVETSKYI,98.76,1.05
NEMYRIVSKYI,97.52,2.1
ORATIVSKYI,99.1,0.74
PISHCHANSKYI,97.62,1.6
POHREBYSHCHENSKYI,98.79,1.06
TEPLYTSKYI,98.81,0.87
TOMASHPILSKYI,96.57,2.88
TROSTIANETSKYI,98.1,1.67
TULCHYNSKYI,96.87,2.76
TYVRIVSKYI,96.44,3.05
KHMILNYTSKYI,99.11,0.72
CHERNIVETSKYI,99.22,0.64
CHECHELNYTSKYI,98.53,1.17
SHARHORODSKYI,98.92,0.87
YAMPILSKYI,97.56,1.69
LUTSK,92.87,6.79
VOLODYMYR-VOLYNSKYI,94.49,5.15
KOVEL,95.77,3.93
NOVOVOLYNSK,94.37,5.22
VOLODYMYR-VOLYNSKYI,98.78,1.0
HOROKHIVSKYI,99.17,0.63
IVANYCHIVSKYI,99.0,0.8
KAMIN-KASHYRSKYI,99.58,0.33
KIVERTSIVSKYI,98.58,1.23
KOVELSKYI,99.02,0.83
LOKACHYNSKYI,99.37,0.51
LUTSKYI,98.84,1.01
LIUBESHIVSKYI,99.47,0.34
LIUBOMLSKYI,99.11,0.76
MANEVYTSKYI,99.33,0.55
RATNIVSKYI,99.17,0.53
ROZHYSHCHENSKYI,99.03,0.83
STAROVYZHIVSKYI,99.49,0.39
TURIISKYI,99.08,0.8
SHATSKYI,98.73,0.89
DNIPROPETROVSK,46.5,52.46
VILNOHIRSK,81.35,18.26
DNIPRODZERZHYNSK,65.47,33.84
ZHOVTIVODY,77.08,20.89
KRYVYIRIH,71.35,27.17
MARHANETS,72.15,26.68
NIKOPOL,56.0,42.73
NOVOMOSKOVSK,80.88,18.48
ORDZHONIKIDZE,67.72,31.7
PAVLOHRAD,59.23,39.82
PERSHOTRAVENSK,40.21,58.89
SYNELNYKOVE,77.95,20.23
TERNIVKA,21.2,78.02
APOSTOLIVSKYI,86.64,12.57
VASYLKIVSKYI,94.53,4.63
VERKHNODNIPROVSKYI,89.98,9.2
DNIPROPETROVSKYI,80.7,18.27
KRYVORIZKYI,91.35,7.73
KRYNYCHANSKYI,94.03,4.71
MAHDALYNIVSKYI,93.91,4.75
MEZHIVSKYI,94.71,3.93
NIKOPOLSKYI,89.66,9.75
NOVOMOSKOVSKYI,86.2,12.93
PAVLOHRADSKYI,75.97,23.36
PETRYKIVSKYI,95.49,3.95
PETROPAVLIVSKYI,91.43,7.96
POKROVSKYI,95.25,4.15
PIATYKHATSKYI,92.32,6.33
SYNELNYKIVSKYI,89.95,8.78
SOLONIANSKYI,92.66,6.37
SOFIIVSKYI,94.59,4.31
TOMAKIVSKYI,92.77,6.6
TSARYCHANSKYI,95.44,3.93
SHYROKIVSKYI,92.47,6.4
YURIVSKYI,92.81,5.98
DONETSK,11.14,87.83
AVDIIVKA,12.51,87.17
ARTEMIVSK,35.22,63.62
VUHLEDAR,28.18,70.8
HORLIVKA,15.15,83.89
DEBALTSEVE,21.54,77.33
DZERZHYNSK,21.29,78.23
DYMYTROV,25.94,71.85
DOBROPILLIA,39.28,60.2
DOKUCHAIVSK,27.95,71.52
DRUZHKIVKA,34.95,63.79
YENAKIIEVE,13.56,85.72
ZHDANIVKA,11.66,87.41
MARIUPOL,9.87,89.53
KIROVSKE,16.9,82.39
KOSTIANTYNIVKA,20.98,78.06
KRAMATORSK,35.64,63.27
KRASNOARMIISK,37.07,62.16
KRASNYILYMAN,70.35,29.13
MAKIIVKA,12.42,86.58
NOVOHRODIVKA,29.84,69.2
SELYDOVE,26.03,72.98
SLAVIANSK,43.77,54.61
SNIZHNE,15.25,83.61
TOREZ,15.68,83.38
KHARTSYZK,16.08,82.97
SHAKHTARSK,22.46,76.34
YASYNUVATA,27.15,72.44
OLEKSANDRIVSKYI,89.51,9.98
AMVROSIIVSKYI,43.46,55.77
ARTEMIVSKYI,72.22,26.22
VELYKONOVOSILKIVSKYI,50.26,47.43
VOLNOVASKYI,58.45,40.36
VOLODARSKYI,31.14,67.4
DOBROPILSKYI,88.61,10.85
KOSTIANTYNIVSKYI,69.84,29.41
KRASNOARMIISKYI,74.06,25.53
KRASNOLYMANSKYI,82.18,16.96
MARINSKYI,56.52,43.02
NOVOAZOVSKYI,40.22,59.33
PERSHOTRAVNEVYI,22.35,76.63
SLOVIANSKYI,83.19,15.55
STAROBESHIVSKYI,17.06,81.78
TELMANIVSKYI,39.87,57.17
SHAKHTARSKYI,53.36,46.25
YASYNUVATSKYI,40.96,58.21
ZHYTOMYR,83.18,16.27
BERDYCHIV,88.96,10.59
KOROSTEN,86.69,12.73
NOVOHRAD-VOLYNSKYI,89.37,10.01
ANDRUSHIVSKYI,97.66,2.03
BARANIVSKYI,98.48,1.3
BERDYCHIVSKYI,98.04,1.75
BRUSYLIVSKYI,96.99,2.68
VOLODARSKO-VOLYNSKYI,96.23,3.49
DZERZHYNSKYI,98.14,1.56
YEMILCHYNSKYI,98.39,1.51
ZHYTOMYRSKYI,93.55,6.11
KOROSTENSKYI,97.83,1.7
KOROSTYSHIVSKYI,94.75,4.89
LUHYNSKYI,98.3,1.41
LIUBARSKYI,98.77,1.06
MALYNSKYI,96.33,3.24
NARODYTSKYI,97.1,1.83
NOVOHRAD-VOLYNSKYI,98.51,1.35
OVRUTSKYI,95.88,3.52
OLEVSKYI,98.23,1.32
POPILNIANSKYI,97.33,2.08
RADOMYSHLSKYI,97.24,2.54
RUZHYNSKYI,98.68,1.09
CHERVONOARMIISKYI,98.25,1.48
CHERNIAKHIVSKYI,98.58,1.26
CHUDNIVSKYI,97.8,1.99
UZHHOROD,77.55,12.4
BEREHOVE,38.43,6.29
MUKACHEVE,77.63,10.72
KHUST,90.98,3.83
BEREHIVSKYI,18.83,0.75
VELYKOBEREZNIANSKYI,98.98,0.63
VYNOHRADIVSKYI,71.98,1.28
VOLOVETSKYI,99.14,0.65
IRSHAVSKYI,99.01,0.65
MIZHHIRSKYI,99.27,0.45
MUKACHIVSKYI,84.22,0.72
PERECHYNSKYI,96.6,1.28
RAKHIVSKYI,84.63,0.89
SVALIAVSKYI,97.28,1.58
TIACHIVSKYI,83.52,1.06
UZHHORODSKYI,58.89,2.47
KHUSTSKYI,95.21,0.84
ZAPORIZHZHIA,41.7,56.77
BERDIANSK,24.18,75.05
MELITOPOL,20.42,78.14
TOKMAK,70.25,29.35
ENERHODAR,37.81,61.69
YAKYMIVSKYI,42.52,55.11
BERDIANSKYI,68.52,27.75
VASYLIVSKYI,70.78,28.41
VELYKOBILOZERSKYI,93.72,5.81
VESELIVSKYI,70.52,28.15
VILNIANSKYI,84.72,14.7
HULIAIPILSKYI,94.13,5.22
ZAPORIZKYI,83.85,15.43
KAMIANSKO-DNIPROVSKYI,44.48,54.68
KUIBYSHEVSKYI,89.12,10.15
MELITOPOLSKYI,39.35,58.24
MYKHAILIVSKYI,67.08,31.82
NOVOMYKOLAIVSKYI,93.78,5.76
ORIKHIVSKYI,91.37,8.17
POLOHIVSKYI,92.87,6.54
PRYAZOVSKYI,37.36,53.31
PRYMORSKYI,32.47,55.18
ROZIVSKYI,82.43,16.95
TOKMATSKYI,79.93,19.47
CHERNIHIVSKYI,93.54,5.92
IVANO-FRANKIVSK,92.65,6.38
BOLEKHIV,99.14,0.67
KALUSH,95.33,3.19
KOLOMYIA,93.11,5.0
YAREMCHE,99.17,0.63
BOHORODCHANSKYI,99.63,0.31
VERKHOVYNSKYI,99.64,0.32
HALYTSKYI,99.01,0.86
HORODENKIVSKYI,99.59,0.32
DOLYNSKYI,98.74,0.99
KALUSKYI,99.65,0.3
KOLOMYISKYI,99.54,0.36
KOSIVSKYI,99.47,0.41
NADVIRNIANSKYI,98.78,0.84
ROHATYNSKYI,99.68,0.25
ROZHNIATIVSKYI,99.61,0.33
SNIATYNSKYI,99.47,0.4
TLUMATSKYI,99.67,0.26
TYSMENYTSKYI,99.51,0.37
BILATSERKVA,86.61,12.31
BEREZAN,92.12,7.45
BORYSPIL,88.39,11.08
BROVARY,86.44,12.89
VASYLKIV,87.29,12.19
IRPIN,87.79,11.63
PEREIASLAV-KHMELNYTSKYI,95.89,3.61
FASTIV,90.83,8.61
RZHYSHCHIV,95.14,4.27
SLAVUTYCH,55.42,42.58
PRYPIAT,-,-
BARYSHIVSKYI,96.45,3.02
BILOTSERKIVSKYI,95.65,3.95
BOHUSLAVSKYI,97.60,2.22
BORYSPILSKYI,95.67,3.82
BORODIANSKYI,94.67,4.78
BROVARSKYI,96.87,2.80
VASYLKIVSKYI,95.35,4.15
VOLODARSKYI,97.84,1.90
VYSHHORODSKYI,90.28,9.25
ZGHURIVSKYI,97.02,2.30
IVANKIVSKYI,96.47,3.12
KAHARLYTSKYI,96.97,2.65
KYIEVO-SVIATOSHYNSKYI,91.40,8.06
MAKARIVSKYI,95.69,3.83
MYRONIVSKYI,96.68,2.95
OBUKHIVSKYI,87.29,12.19
PEREIASLAV-KHMELNYTSKYI,97.14,2.56
POLISKYI,97.23,2.18
ROKYTNIANSKYI,97.98,1.80
SKVYRSKYI,97.39,1.93
STAVYSHCHENSKYI,98.31,1.39
TARASHCHANSKYI,97.94,1.68
TETIIVSKYI,98.24,1.52
FASTIVSKYI,96.15,3.28
YAHOTYNSKYI,96.08,3.46
KIROVOHRAD,79.72,19.64
OLEKSANDRIIA,87.0,12.47
ZNAMIANKA,79.1,19.85
SVITLOVODSK,79.49,20.03
OLEKSANDRIISKYI,95.03,3.79
OLEKSANDRIVSKYI,96.83,2.32
BOBRYNETSKYI,96.16,2.27
HAIVORONSKYI,96.54,2.9
HOLOVANIVSKYI,95.64,3.71
DOBROVELYCHKIVSKYI,95.26,3.16
DOLYNSKYI,94.42,4.56
ZNAMIANSKYI,93.32,5.1
KIROVOHRADSKYI,87.85,10.42
KOMPANIIVSKYI,95.45,2.53
MALOVYSKIVSKYI,89.34,9.56
NOVHORODKIVSKYI,97.05,2.07
NOVOARKHANHELSKYI,96.95,1.87
NOVOMYRHORODSKYI,95.15,2.48
NOVOUKRAINSKYI,95.32,2.67
VILSHANSKYI,92.7,2.54
ONUFRIIVSKYI,86.27,12.88
PETRIVSKYI,93.58,5.28
SVITLOVODSKYI,85.92,12.93
ULIANOVSKYI,97.06,1.72
USTYNIVSKYI,95.61,2.32
LUHANSK,14.33,84.73
ANTRATSYT,13.93,83.7
BRIANKA,14.0,85.68
KIROVSK,20.25,79.3
ALCHEVSK,15.26,83.58
KRASNODON,8.32,91.11
KRASNYILUCH,14.65,83.59
LYSYCHANSK,35.34,62.86
PERVOMAISK,37.94,57.07
ROVENKY,21.24,78.3
RUBIZHNE,38.95,60.05
SVERDLOVSK,14.22,83.53
SIEVERODONETSK,28.31,70.78
STAKHANOV,14.38,83.8
ANTRATSYTIVSKYI,46.51,53.1
BILOVODSKYI,84.2,15.56
BILOKURAKYNSKYI,91.39,8.37
KRASNODONSKYI,27.26,72.32
KREMINSKYI,78.73,20.82
LUTUHYNSKYI,49.33,49.82
MARKIVSKYI,93.78,5.8
MILOVSKYI,73.84,24.12
NOVOAIDARSKYI,45.99,53.61
NOVOPSKOVSKYI,92.2,7.52
PEREVALSKYI,23.15,76.39
POPASNIANSKYI,64.08,35.6
SVATIVSKYI,91.84,7.55
SVERDLOVSKYI,56.01,41.29
SLOVIANOSERBSKYI,38.94,60.4
STANYCHNO-LUHANSKYI,14.17,85.06
STAROBILSKYI,79.17,20.48
TROITSKYI,62.76,36.89
LVIV,88.75,9.72
BORYSLAV,97.55,1.94
DROHOBYCH,94.94,3.77
SAMBIR,95.16,2.31
STRYI,92.98,5.06
TRUSKAVETS,94.22,4.99
CHERVONOHRAD,93.34,6.24
BRODIVSKYI,98.27,1.56
BUSKYI,99.36,0.47
HORODOTSKYI,99.05,0.77
DROHOBYTSKYI,99.63,0.27
ZHYDACHIVSKYI,99.27,0.56
ZOLOCHIVSKYI,98.97,0.86
KAMIANKA-BUZKYI,98.82,0.98
MOSTYSKYI,93.21,0.42
ZHOVKIVSKYI,99.11,0.67
MYKOLAIVSKYI,98.47,1.37
PEREMYSHLIANSKYI,99.68,0.25
PUSTOMYTIVSKYI,98.94,0.68
RADEKHIVSKYI,99.55,0.34
SAMBIRSKYI,97.99,0.6
SKOLIVSKYI,99.41,0.47
SOKALSKYI,99.03,0.79
STAROSAMBIRSKYI,98.76,0.38
STRYISKYI,99.27,0.62
TURKIVSKYI,99.82,0.14
YAVORIVSKYI,98.86,1.0
MYKOLAIV,42.17,56.81
VOZNESENSK,86.47,12.5
OCHAKIV,70.31,28.49
PERVOMAISK,82.76,15.79
YUZHNOUKRAINSK,66.52,31.37
ARBUZYNSKYI,88.35,8.9
BASHTANSKYI,91.37,5.51
BEREZANSKYI,88.87,8.27
BEREZNEHUVATSKYI,91.65,6.76
BRATSKYI,86.13,9.97
VESELYNIVSKYI,92.74,5.47
VOZNESENSKYI,89.57,8.22
VRADIIVSKYI,96.0,1.82
DOMANIVSKYI,94.71,2.67
YELANETSKYI,92.93,3.58
ZHOVTNEVYI,80.51,18.08
KAZANKIVSKYI,81.22,17.26
KRYVOOZERSKYI,96.93,1.82
MYKOLAIVSKYI,87.4,11.43
NOVOBUZKYI,94.03,4.42
NOVOODESKYI,92.42,5.93
OCHAKIVSKYI,85.21,12.67
PERVOMAISKYI,93.22,4.76
SNIHURIVSKYI,90.96,7.74
ODESA,30.41,64.75
BILHOROD-DNISTROVSKYI,41.84,54.32
IZMAIL,18.04,74.24
ILLICHIVSK,41.44,57.3
KOTOVSK,70.32,26.54
TEPLODAR,55.8,42.43
YUZHNE,44.76,53.71
ANANIVSKYI,78.17,5.27
ARTSYZKYI,18.24,42.79
BALTSKYI,89.3,8.7
BILHOROD-DNISTROVSKYI,80.77,12.96
BILIAIVSKYI,80.26,16.87
BEREZIVSKYI,88.03,9.04
BOLHRADSKYI,4.87,16.32
VELYKOMYKHAILIVSKYI,80.36,15.36
IVANIVSKYI,72.56,17.56
IZMAILSKYI,26.34,21.56
KILIISKYI,36.09,44.23
KODYMSKYI,95.48,3.42
KOMINTERNIVSKYI,77.28,20.54
KOTOVSKYI,68.96,7.7
KRASNOOKNIANSKYI,86.14,6.61
LIUBASHIVSKYI,93.13,2.69
MYKOLAIVSKYI,93.39,2.58
OVIDIOPOLSKYI,69.64,27.76
ROZDILNIANSKYI,68.06,28.42
RENIISKYI,7.26,37.88
SAVRANSKYI,95.95,2.44
SARATSKYI,41.29,21.42
TARUTYNSKYI,18.79,32.93
TATARBUNARSKYI,72.4,7.68
FRUNZIVSKYI,92.09,3.22
SHYRIAIVSKYI,91.13,3.62
POLTAVA,85.39,14.06
KOMSOMOLSK,73.15,26.25
KREMENCHUK,75.48,23.94
LUBNY,91.06,8.61
MYRHOROD,88.26,11.34
VELYKOBAHACHANSKYI,96.74,2.77
HADIATSKYI,96.86,2.75
HLOBYNSKYI,95.89,3.39
HREBINKIVSKYI,95.78,3.62
DYKANSKYI,95.31,3.87
ZINKIVSKYI,96.97,2.28
KARLIVSKYI,95.85,3.35
KOBELIATSKYI,95.97,3.3
KOZELSHCHYNSKYI,96.02,3.41
KOTELEVSKYI,97.17,2.44
KREMENCHUTSKYI,93.75,5.58
LOKHVYTSKYI,96.86,2.74
LUBENSKYI,97.45,2.1
MASHIVSKYI,95.35,3.92
MYRHORODSKYI,97.48,2.32
NOVOSANZHARSKYI,95.86,3.42
ORZHYTSKYI,97.45,2.06
PYRIATYNSKYI,94.79,4.76
POLTAVSKYI,93.81,5.74
RESHETYLIVSKYI,96.38,2.72
SEMENIVSKYI,97.26,2.15
KHOROLSKYI,97.26,2.46
CHORNUKHYNSKYI,97.92,1.86
CHUTIVSKYI,95.21,3.97
SHYSHATSKYI,96.73,2.54
RIVNE,92.08,7.48
DUBNO,96.15,3.34
KUZNETSOVSK,90.42,9.27
OSTROH,97.32,2.42
BEREZNIVSKYI,99.48,0.43
VOLODYMYRETSKYI,99.25,0.62
HOSHCHANSKYI,99.08,0.75
DEMYDIVSKYI,99.2,0.63
DUBENSKYI,99.19,0.64
DUBROVYTSKYI,98.92,0.65
ZARICHNENSKYI,99.36,0.39
ZDOLBUNIVSKYI,97.31,2.41
KORETSKYI,99.17,0.67
KOSTOPILSKYI,98.45,1.37
MLYNIVSKYI,99.22,0.68
OSTROZKYI,99.3,0.55
RIVNENSKYI,98.28,1.52
ROKYTNIVSKYI,99.3,0.43
SARNENSKYI,98.16,1.58
RADYVYLIVSKYI,99.11,0.74
SUMY,77.44,20.21
OKHTYRKA,87.11,9.95
HLUKHIV,83.29,16.4
KONOTOP,86.41,12.96
LEBEDYN,93.3,6.46
ROMNY,93.98,5.67
SHOSTKA,60.81,35.74
OKHTYRSKYI,96.22,3.26
BILOPILSKYI,93.83,5.35
BURYNSKYI,96.87,2.53
VELYKOPYSARIVSKYI,72.63,26.98
HLUKHIVSKYI,78.14,21.68
KONOTOPSKYI,97.4,2.18
KRASNOPILSKYI,93.03,6.49
KROLEVETSKYI,95.77,3.81
LEBEDYNSKYI,96.06,3.5
LYPOVODOLYNSKYI,97.73,1.85
NEDRYHAILIVSKYI,97.73,1.87
PUTYVLSKYI,38.68,61.02
ROMENSKYI,97.6,2.02
SEREDYNO-BUDSKYI,20.75,79.11
SUMSKYI,93.82,5.49
TROSTIANETSKYI,86.11,13.27
SHOSTKYNSKYI,86.51,12.93
YAMPILSKYI,82.53,16.89
TERNOPIL,94.8,3.37
BEREZHANSKYI,99.26,0.64
BORSHCHIVSKYI,99.15,0.65
BUCHATSKYI,99.62,0.27
HUSIATYNSKYI,99.39,0.44
ZALISHCHYTSKYI,99.47,0.45
ZBARAZKYI,98.32,1.55
ZBORIVSKYI,99.68,0.23
KOZIVSKYI,99.64,0.28
KREMENETSKYI,98.69,1.11
LANOVETSKYI,99.16,0.66
MONASTYRYSKYI,99.62,0.3
PIDVOLOCHYSKYI,99.48,0.36
PIDHAIETSKYI,99.83,0.13
TEREBOVLIANSKYI,99.4,0.5
TERNOPILSKYI,99.53,0.36
CHORTKIVSKYI,98.27,1.53
SHUMSKYI,99.44,0.47
KHARKIV,31.77,65.86
IZIUM,74.22,23.77
KUPIANSK,69.28,25.58
LOZOVA,77.21,17.56
LIUBOTYN,86.1,12.59
PERVOMAISKYI,42.83,52.65
CHUHUIV,29.64,69.52
BALAKLIISKYI,70.38,28.91
BARVINKIVSKYI,91.24,7.75
BLYZNIUKIVSKYI,92.1,6.74
BOHODUKHIVSKYI,93.65,5.55
BORIVSKYI,91.52,8.14
VALKIVSKYI,94.23,5.23
VELYKOBURLUTSKYI,71.82,27.32
VOVCHANSKYI,85.72,13.16
ZMIIVSKYI,76.38,22.49
DVORICHANSKYI,84.17,15.02
DERHACHIVSKYI,78.08,21.26
ZACHEPYLIVSKYI,83.95,14.89
ZOLOCHIVSKYI,85.66,13.34
IZIUMSKYI,91.67,7.47
KEHYCHIVSKYI,92.05,5.45
KOLOMATSKYI,94.01,4.46
KRASNOHRADSKYI,77.16,21.9
KRASNOKUTSKYI,94.92,4.35
KUPIANSKYI,88.94,10.38
LOZIVSKYI,88.51,10.74
NOVOVODOLAZKYI,77.69,21.52
PERVOMAISKYI,58.16,41.17
PECHENIZKYI,92.75,6.87
SAKHNOVSHCHYNSKYI,94.4,4.54
KHARKIVSKYI,63.88,35.16
CHUHUIVSKYI,45.23,53.87
SHEVCHENKIVSKYI,91.23,7.75
KHERSON,56.2,42.52
KAKHOVKA,73.85,25.27
NOVAKAKHOVKA,58.84,40.3
BILOZERSKYI,87.83,10.61
BERYSLAVSKYI,89.91,9.04
VELYKOOLEKSANDRIVSKYI,94.53,4.32
VELYKOLEPETYSKYI,90.66,8.5
VERKHNOROHACHYTSKYI,93.4,5.66
VYSOKOPILSKYI,94.25,4.93
HENICHESKYI,46.02,45.0
HOLOPRYSTANSKYI,86.56,11.86
HORNOSTAIVSKYI,94.0,4.73
IVANIVSKYI,90.15,7.05
KALANCHATSKYI,88.78,9.55
KAKHOVSKYI,88.06,11.02
NYZHNOSIROHOZKYI,80.3,17.45
NOVOVORONTSOVSKYI,95.6,3.76
NOVOTROITSKYI,87.15,10.67
SKADOVSKYI,80.56,17.72
TSIURUPYNSKYI,82.12,16.74
CHAPLYNSKYI,83.78,8.93
KHMELNYTSKYI,88.39,10.36
KAMIANETS-PODILSKYI,91.22,7.08
NETISHYN,87.66,11.41
SLAVUTA,92.34,7.23
SHEPETIVKA,93.46,5.69
STAROKOSTIANTYNIV,92.01,7.46
BILOHIRSKYI,99.01,0.83
VINKOVETSKYI,97.19,2.58
VOLOCHYSKYI,98.46,1.32
HORODOTSKYI,98.46,0.98
DERAZHNIANSKYI,98.15,1.37
DUNAIEVETSKYI,98.43,1.28
IZIASLAVSKYI,97.0,2.77
KAMIANETS-PODILSKYI,98.59,1.19
KRASYLIVSKYI,98.35,1.39
LETYCHIVSKYI,98.22,1.54
NOVOUSHYTSKYI,96.48,3.29
POLONSKYI,98.38,1.38
SLAVUTSKYI,98.84,1.05
STAROKOSTIANTYNIVSKYI,98.6,1.12
STAROSYNIAVSKYI,98.66,0.79
TEOFIPOLSKYI,98.88,0.77
KHMELNYTSKYI,95.82,1.96
CHEMEROVETSKYI,99.12,0.76
SHEPETIVSKYI,97.9,1.74
YARMOLYNETSKYI,98.11,1.45
CHERKASY,79.07,18.67
VATUTINE,91.87,7.79
KANIV,88.43,11.24
ZOLOTONOSHA,92.79,6.32
SMILA,89.1,10.13
UMAN,93.27,6.38
HORODYSHCHENSKYI,97.56,1.99
DRABIVSKYI,98.01,1.56
ZHASHKIVSKYI,98.11,1.5
ZVENYHORODSKYI,97.64,2.02
ZOLOTONISKYI,96.5,2.96
KAMIANSKYI,96.78,2.97
KANIVSKYI,96.95,2.75
KATERYNOPILSKYI,98.01,1.6
KORSUN-SHEVCHENKIVSKYI,96.57,2.5
LYSIANSKYI,98.29,1.42
MANKIVSKYI,98.12,1.59
MONASTYRYSHCHENSKYI,98.38,1.29
SMILIANSKYI,96.97,2.67
TALNIVSKYI,97.66,1.77
UMANSKYI,97.34,2.18
KHRYSTYNIVSKYI,97.09,2.25
CHERKASKYI,96.84,2.91
CHORNOBAIVSKYI,97.29,2.27
CHYHYRYNSKYI,95.46,3.63
SHPOLIANSKYI,97.74,1.8
CHERNIHIV,74.01,24.5
NIZHYN,89.54,8.89
PRYLUKY,92.91,6.77
BAKHMATSKYI,97.09,2.51
BOBROVYTSKYI,97.88,1.75
BORZNIANSKYI,98.43,1.39
VARVYNSKYI,96.98,2.71
HORODNIANSKYI,92.46,6.99
ICHNIANSKYI,97.83,2.0
KOZELETSKYI,95.77,3.84
KOROPSKYI,97.8,2.02
KORIUKIVSKYI,96.93,2.81
KULYKIVSKYI,97.97,1.71
MENSKYI,97.54,2.14
NIZHYNSKYI,98.51,1.34
NOVHOROD-SIVERSKYI,63.93,35.93
NOSIVSKYI,97.92,1.71
PRYLUTSKYI,97.23,2.44
RIPKYNSKYI,87.64,11.4
SEMENIVSKYI,80.37,19.39
SOSNYTSKYI,98.4,1.44
SRIBNIANSKYI,98.32,1.54
TALALAIVSKYI,97.95,1.89
CHERNIHIVSKYI,95.42,4.04
SHCHORSKYI,89.36,10.3
CHERNIVTSI,79.2,15.27
NOVODNISTROVSK,85.67,13.37
VYZHNYTSKYI,98.52,1.03
HERTSAIVSKYI,4.83,1.21
HLYBOTSKYI,52.56,1.15
ZASTAVNIVSKYI,99.22,0.59
KELMENETSKYI,97.75,1.32
KITSMANSKYI,98.83,0.9
NOVOSELYTSKYI,34.08,1.78
PUTYLSKYI,99.47,0.37
SOKYRIANSKYI,90.42,6.4
STOROZHYNETSKYI,61.42,1.81
KHOTYNSKYI,91.57,1.27
KYIV,72.15,25.27
HOLOSIIVSKYI,75.93,22.17
DARNYTSKYI,77.91,20.53
DESNIANSKYI,74.74,23.42
DNIPROVSKYI,71.9,27.1
OBOLONSKYI,70.31,23.6
PECHERSKYI,60.23,30.67
PODILSKYI,73.94,25.03
SVIATOSHYNSKYI,77.16,21.51
SOLOMIANSKYI,67.51,30.47
SHEVCHENKIVSKYI,64.65,32.14
SEVASTOPOL,6.76,90.56
SEVASTOPOL,6.48,91.41
BALAKLAVSKYI,8.64,89.29
HAHARINSKYI,6.27,91.56
LENINSKYI,5.95,91.52
NAKHIMOVSKYI,6.80,91.7
INKERMAN,5.23,91.17
KACHA,5.14,94.04
VYSHNEVE,6.58,74.84
ORLIVKA,15.15,76.09
OSYPENKO,12.35,83.88
POLIUSHKO,13.35,53.42
ORLYNIVSKA,12.42,74.71
ORLYNE,7.74,75.35
HONCHARNE,26.09,62.42
KYZYLOVE,15.15,84.85
KOLKHOZNE,0.0,88.89
NOVOBOBRIVSKE,12.50,65.54
OZERNE,1.66,98.34
PAVLIVKA,17.56,77.52
PEREDOVE,17.22,69.61
PIDHIRNE,1.61,82.26
REZERVNE,19.40,78.36
RODNYKIVSKE,6.41,79.03
ROZSOSHANKA,1.64,95.9
TYLOVE,9.97,81.44
SHYROKE,16.51,69.5
TERNIVSKA,13.94,68.91
TERNIVKA,13.39,73.62
RIDNE,15.37,56.64
ANDRIIVSKA,13.53,85.14
ANDRIIVKA,5.52,93.89
SONIACHNYI,21.20,76.77
VERKHNOSADIVSKA,10.52,81.43
VERKHNOSADOVE,9.48,83.54
DALNIE,15.67,83.37
KAMYSHLY,16.67,50.0
PYROHOVKA,6.34,89.43
POVOROTNE,14.22,71.55
FRONTOVE,11.95,70.68
FRUKTOVE,8.08,91.73
