Name,Ukrainian,Russian,Notes,prev_name,Whole population
simferopolska,6.35,85.82,,SIMFEROPOL (miskrada),358108.0
ALUSHTYNSKA,9.67,83.68,,ALUSHTA (miskrada),52215.0
dzhankoiska,7.6,83.14,,m. DZHANKOI,42861.0
ievpatoriiska,8.73,83.69,,YEVPATORIIA (miskrada),117565.0
kerchenska,5.27,91.34,,m. KERCH,158165.0
KRASNOPEREKOPSK,16.48,79.62,,m. KRASNOPEREKOPSK,30902.0
sakska,8.87,84.26,,m. SAKY,28522.0
ARMIANSK,16.9,78.52,,ARMIANSK (miskrada),26867.0
feodosiiska,7.35,87.32,,FEODOSIIA (miskrada),108788.0
sudatska,8.42,71.45,,SUDAK (miskrada),29448.0
ialtynska,10.12,86.79,,YALTA (miskrada),139584.0
BAKHCHYSARAISKYI,8.21,69.3,,BAKHCHYSARAISKYI RAION,92542.0
BILOHIRSKYI,7.92,60.43,,BILOHIRSKYI RAION,66458.0
BILOHIRSKYI,7.92,60.43,,BILOHIRSKYI RAION,31707.0
DZHANKOISKYI,15.84,62.04,,DZHANKOISKYI RAION,82328.0
KIROVSKYI,8.38,64.18,,KIROVSKYI RAION,58016.0
KRASNOHVARDIISKYI,11.94,69.42,,KRASNOHVARDIISKYI RAION,93782.0
KRASNOPEREKOPSKYI,26.78,53.26,,KRASNOPEREKOPSKYI RAION,31843.0
LENINSKYI,10.57,70.39,,LENINSKYI RAION,69629.0
NYZHNOHIRSKYI,10.47,72.72,,NYZHNOHIRSKYI RAION,56976.0
PERVOMAISKYI,19.27,58.44,,PERVOMAISKYI RAION,40367.0
PERVOMAISKYI,19.27,58.44,,PERVOMAISKYI RAION,37203.0
PERVOMAISKYI,19.27,58.44,,PERVOMAISKYI RAION,19999.0
ROZDOLNENSKYI,20.84,63.97,,ROZDOLNENSKYI RAION,37185.0
SAKSKYI,16.91,64.48,,SAKSKYI RAION,80964.0
SIMFEROPOLSKYI,9.62,66.95,,SIMFEROPOLSKYI RAION,149253.0
SOVIETSKYI,10.38,64.37,,SOVIETSKYI RAION,37576.0
CHORNOMORSKYI,14.81,70.94,,CHORNOMORSKYI RAION,34112.0
vinnytska,84.73,14.36,,m. VINNYTSIA,354639.0
zhmerynska,90.81,8.51,,m. ZHMERYNKA,37073.0
mohyliv-podilska,92.31,7.01,,MOHYLIV-PODILSKYI (miskrada),32513.0
KOZIATYN,94.88,4.76,,KOZIATYN (miskrada),27155.0
ladyzhynska,88.35,11.25,,LADYZHYN (miskrada),23419.0
khmelnytska,97.12,2.59,,m. KHMILNYK,25181.0
BARSKYI,97.4,2.36,,BARSKYI RAION,62239.0
BERSHADSKYI,97.17,2.48,,BERSHADSKYI RAION,71310.0
VINNYTSKYI,97.57,2.04,,VINNYTSKYI RAION,73430.0
HAISYNSKYI,96.28,3.46,,HAISYNSKYI RAION,64732.0
ZHMERYNSKYI,97.67,2.06,,ZHMERYNSKYI RAION,44136.0
ILLINETSKYI,98.1,1.35,,ILLINETSKYI RAION,42519.0
KOZIATYNSKYI,98.33,1.25,,KOZIATYNSKYI RAION,47788.0
KALYNIVSKYI,97.75,1.97,,KALYNIVSKYI RAION,64936.0
KRYZHOPILSKYI,98.78,0.92,,KRYZHOPILSKYI RAION,40870.0
LYPOVETSKYI,98.78,1.08,,LYPOVETSKYI RAION,44194.0
LITYNSKYI,98.5,1.35,,LITYNSKYI RAION,42252.0
MOHYLIV-PODILSKYI,98.19,1.55,,MOHYLIV-PODILSKYI RAION,40206.0
murovano-kurylovetskyi,98.76,1.05,,MUROVANOKURYLOVETSKYI RAION,32791.0
NEMYRIVSKYI,97.52,2.1,,NEMYRIVSKYI RAION,58873.0
ORATIVSKYI,99.1,0.74,,ORATIVSKYI RAION,27314.0
PISHCHANSKYI,97.62,1.6,,PISHCHANSKYI RAION,25127.0
POHREBYSHCHENSKYI,98.79,1.06,,POHREBYSHCHENSKYI RAION,37704.0
TEPLYTSKYI,98.81,0.87,,TEPLYTSKYI RAION,35258.0
TOMASHPILSKYI,96.57,2.88,,TOMASHPILSKYI RAION,40608.0
TROSTIANETSKYI,98.1,1.67,,TROSTIANETSKYI RAION,42530.0
TROSTIANETSKYI,98.1,1.67,,TROSTIANETSKYI RAION,42134.0
TULCHYNSKYI,96.87,2.76,,TULCHYNSKYI RAION,64927.0
TYVRIVSKYI,96.44,3.05,,TYVRIVSKYI RAION,47805.0
KHMILNYTSKYI,99.11,0.72,,KHMILNYTSKYI RAION,44110.0
chernivetska,99.22,0.64,,CHERNIVETSKYI RAION,28660.0
CHECHELNYTSKYI,98.53,1.17,,CHECHELNYTSKYI RAION,27209.0
SHARHORODSKYI,98.92,0.87,,SHARHORODSKYI RAION,64767.0
iampilskyi,97.56,1.69,,YAMPILSKYI RAION,47669.0
iampilskyi,97.56,1.69,,YAMPILSKYI RAION,30442.0
lutska,92.87,6.79,,m. LUTSK,205585.0
VOLODYMYR-VOLYNSKYI,94.49,5.15,,m. VOLODYMYR-VOLYNSKYI,37982.0
kovelska,95.77,3.93,,m. KOVEL,65777.0
novovolynska,94.37,5.22,,NOVOVOLYNSK (miskrada),58558.0
VOLODYMYR-VOLYNSKYI,98.78,1.0,,VOLODYMYR-VOLYNSKYI RAION,28446.0
HOROKHIVSKYI,99.17,0.63,,HOROKHIVSKYI RAION,57133.0
IVANYCHIVSKYI,99.0,0.8,,IVANYCHIVSKYI RAION,35995.0
KAMIN-KASHYRSKYI,99.58,0.33,,KAMIN-KASHYRSKYI RAION,62151.0
KIVERTSIVSKYI,98.58,1.23,,KIVERTSIVSKYI RAION,65924.0
KOVELSKYI,99.02,0.83,,KOVELSKYI RAION,43340.0
LOKACHYNSKYI,99.37,0.51,,LOKACHYNSKYI RAION,25386.0
LUTSKYI,98.84,1.01,,LUTSKYI RAION,56231.0
LIUBESHIVSKYI,99.47,0.34,,LIUBESHIVSKYI RAION,37124.0
liubomlsky,99.11,0.76,,LIUBOMLSKYI RAION,43198.0
MANEVYTSKYI,99.33,0.55,,MANEVYTSKYI RAION,57411.0
RATNIVSKYI,99.17,0.53,,RATNIVSKYI RAION,52530.0
ROZHYSHCHENSKYI,99.03,0.83,,ROZHYSHCHENSKYI RAION,42999.0
STAROVYZHIVSKYI,99.49,0.39,,STAROVYZHIVSKYI RAION,34188.0
TURIISKYI,99.08,0.8,,TURIISKYI RAION,29043.0
SHATSKYI,98.73,0.89,,SHATSKYI RAION,18213.0
dnipropetrovska,46.5,52.46,,DNIPROPETROVSK (miskrada),1069801.0
VILNOHIRSK,81.35,18.26,,m. VILNOHIRSK,24080.0
dniprodzerzhynska,65.47,33.84,,DNIPRODZERZHYNSK (miskrada),261735.0
zhovtovodska,77.08,20.89,,ZHOVTI VODY (miskrada),57329.0
kryvyirig,71.35,27.17,,KRYVYI RIH (miskrada),710412.0
marhanetska,72.15,26.68,,MARHANETS (miskrada),50443.0
nikopolska,56.0,42.73,,m. NIKOPOL,138218.0
novomoskovska,80.88,18.48,,m. NOVOMOSKOVSK,71860.0
ordzhonikidzevska,67.72,31.7,,ORDZHONIKIDZE (miskrada),46654.0
pavlograd,59.23,39.82,,m. PAVLOHRAD,119672.0
PERSHOTRAVENSK,40.21,58.89,,m. PERSHOTRAVENSK,29374.0
synelnykivska,77.95,20.23,,m. SYNELNYKOVE,32292.0
TERNIVKA,21.2,78.02,,TERNIVKA (miskrada),29473.0
APOSTOLIVSKYI,86.64,12.57,,APOSTOLIVSKYI RAION,64242.0
VASYLKIVSKYI,94.53,4.63,,VASYLKIVSKYI RAION,70467.0
VERKHNODNIPROVSKYI,89.98,9.2,,VERKHNODNIPROVSKYI RAION,56932.0
DNIPROPETROVSKYI,80.7,18.27,,DNIPROPETROVSKYI RAION,78904.0
KRYVORIZKYI,91.35,7.73,,KRYVORIZKYI RAION,43759.0
KRYNYCHANSKYI,94.03,4.71,,KRYNYCHANSKYI RAION,40330.0
MAHDALYNIVSKYI,93.91,4.75,,MAHDALYNIVSKYI RAION,37606.0
MEZHIVSKYI,94.71,3.93,,MEZHIVSKYI RAION,28529.0
NIKOPOLSKYI,89.66,9.75,,NIKOPOLSKYI RAION,44716.0
NOVOMOSKOVSKYI,86.2,12.93,,NOVOMOSKOVSKYI RAION,75828.0
PAVLOHRADSKYI,75.97,23.36,,PAVLOHRADSKYI RAION,32906.0
PETRYKIVSKYI,95.49,3.95,,PETRYKIVSKYI RAION,25994.0
PETROPAVLIVSKYI,91.43,7.96,,PETROPAVLIVSKYI RAION,35403.0
POKROVSKYI,95.25,4.15,,POKROVSKYI RAION,41864.0
PIATYKHATSKYI,92.32,6.33,,PIATYKHATSKYI RAION,53275.0
SYNELNYKIVSKYI,89.95,8.78,,SYNELNYKIVSKYI RAION,41674.0
SOLONIANSKYI,92.66,6.37,,SOLONIANSKYI RAION,42500.0
sofi‹vskyi,94.59,4.31,,SOFIIVSKYI RAION,28541.0
TOMAKIVSKYI,92.77,6.6,,TOMAKIVSKYI RAION,31629.0
TSARYCHANSKYI,95.44,3.93,,TSARYCHANSKYI RAION,30775.0
SHYROKIVSKYI,92.47,6.4,,SHYROKIVSKYI RAION,31361.0
iurïvskyi,92.81,5.98,,YURIVSKYI RAION,15773.0
donetska,11.14,87.83,,DONETSK (miskrada),1024678.0
AVDIIVKA,12.51,87.17,,m. AVDIIVKA,37237.0
artemivska,35.22,63.62,,ARTEMIVSK (miskrada),113785.0
vuhledarska,28.18,70.8,,m. VUHLEDAR,17518.0
horlivska,15.15,83.89,,HORLIVKA (miskrada),312284.0
DEBALTSEVE,21.54,77.33,,DEBALTSEVE (miskrada),53412.0
dzerzhynska,21.29,78.23,,DZERZHYNSK (miskrada),86281.0
DYMYTROV,25.94,71.85,,DYMYTROV (miskrada),56702.0
dobropilska,39.28,60.2,,DOBROPILLIA (miskrada),72817.0
DOKUCHAIVSK,27.95,71.52,,DOKUCHAIVSK (miskrada),25024.0
DRUZHKIVKA,34.95,63.79,,DRUZHKIVKA (miskrada),75006.0
ienakiievska,13.56,85.72,,YENAKIIEVE (miskrada),162778.0
zhdanivska,11.66,87.41,,ZHDANIVKA (miskrada),14375.0
mariupolska,9.87,89.53,,MARIUPOL (miskrada),510835.0
KIROVSKE,16.9,82.39,,m. KIROVSKE,31041.0
kostiantynivska,20.98,78.06,,m. KOSTIANTYNIVKA,94886.0
kramatorska,35.64,63.27,,KRAMATORSK (miskrada),215729.0
krasnoarmiiska,37.07,62.16,,KRASNOARMIISK (miskrada),82830.0
KRASNYILYMAN,70.35,29.13,,KRASNYI LYMAN (miskrada),28996.0
maki‹vska,12.42,86.58,,MAKIIVKA (miskrada),431023.0
novohrodivska,29.84,69.2,,m. NOVOHRODIVKA,17559.0
selydovska,26.03,72.98,,SELIDOVE (miskrada),62819.0
slovianska,43.77,54.61,,SLOVIANSK (miskrada),142873.0
snizhnenska,15.25,83.61,,SNIZHNE (miskrada),83046.0
torezka,15.68,83.38,,TOREZ (miskrada),96026.0
khartsyzka,16.08,82.97,,KHARTSYZK (miskrada),113685.0
shakhtarska,22.46,76.34,,SHAKHTARSK (miskrada),72711.0
iasynuvatska,27.15,72.44,,m. YASYNUVATA,36903.0
OLEKSANDRIVSKYI,89.51,9.98,,OLEKSANDRIVSKYI RAION,23036.0
OLEKSANDRIVSKYI,89.51,9.98,,OLEKSANDRIVSKYI RAION,36009.0
amvrosi‹vskyi,43.46,55.77,,AMVROSIIVSKYI RAION,54939.0
ARTEMIVSKYI,72.22,26.22,,ARTEMIVSKYI RAION,54065.0
VELYKONOVOSILKIVSKYI,50.26,47.43,,VELYKONOVOSILKIVSKYI RAION,49323.0
VOLNOVASKYI,58.45,40.36,,VOLNOVASKYI RAION,92489.0
VOLODARSKYI,31.14,67.4,,VOLODARSKYI RAION,31168.0
VOLODARSKYI,31.14,67.4,,VOLODARSKYI RAION,23345.0
DOBROPILSKYI,88.61,10.85,,DOBROPILSKYI RAION,20659.0
KOSTIANTYNIVSKYI,69.84,29.41,,KOSTIANTYNIVSKYI RAION,21132.0
KRASNOARMIISKYI,74.06,25.53,,KRASNOARMIISKYI RAION,37567.0
KRASNOLYMANSKYI,82.18,16.96,,KRASNOLYMANSKYI RAION,24974.0
mar‹nskyi,56.52,43.02,,MARINSKYI RAION,90045.0
NOVOAZOVSKYI,40.22,59.33,,NOVOAZOVSKYI RAION,38902.0
PERSHOTRAVNEVYI,22.35,76.63,,PERSHOTRAVNEVYI RAION,29312.0
SLOVIANSKYI,83.19,15.55,,SLOVIANSKYI RAION,39188.0
STAROBESHIVSKYI,17.06,81.78,,STAROBESHIVSKYI RAION,55952.0
TELMANIVSKYI,39.87,57.17,,TELMANIVSKYI RAION,35365.0
SHAKHTARSKYI,53.36,46.25,,SHAKHTARSKYI RAION,24262.0
iasynuvatskyi,40.96,58.21,,YASYNUVATSKYI RAION,30326.0
zhytomyrska,83.18,16.27,,m. ZHYTOMYR,282823.0
berdychivska,88.96,10.59,,m. BERDYCHIV,87193.0
korostenska,86.69,12.73,,m. KOROSTEN,66850.0
novohrad-volynska,89.37,10.01,,m. NOVOHRAD-VOLYNSKYI,56555.0
ANDRUSHIVSKYI,97.66,2.03,,ANDRUSHIVSKYI RAION,38769.0
BARANIVSKYI,98.48,1.3,,BARANIVSKYI RAION,45964.0
BERDYCHIVSKYI,98.04,1.75,,BERDYCHIVSKYI RAION,34559.0
BRUSYLIVSKYI,96.99,2.68,,BRUSYLIVSKYI RAION,18165.0
VOLODARSKO-VOLYNSKYI,96.23,3.49,,VOLODARSKO-VOLYNSKYI RAION,38616.0
romanivskyi,98.14,1.56,,DZERZHYNSKYI RAION,33259.0
iemilchynskyi,98.39,1.51,,YEMILCHYNSKYI RAION,42160.0
ZHYTOMYRSKYI,93.55,6.11,,ZHYTOMYRSKYI RAION,66922.0
KOROSTENSKYI,97.83,1.7,,KOROSTENSKYI RAION,34297.0
KOROSTYSHIVSKYI,94.75,4.89,,KOROSTYSHIVSKYI RAION,43238.0
LUHYNSKYI,98.3,1.41,,LUHYNSKYI RAION,20858.0
LIUBARSKYI,98.77,1.06,,LIUBARSKYI RAION,31154.0
MALYNSKYI,96.33,3.24,,MALYNSKYI RAION,52147.0
NARODYTSKYI,97.1,1.83,,NARODYTSKYI RAION,11395.0
NOVOHRAD-VOLYNSKYI,98.51,1.35,,NOVOHRAD-VOLYNSKYI RAION,52872.0
OVRUTSKYI,95.88,3.52,,OVRUTSKYI RAION,67876.0
OLEVSKYI,98.23,1.32,,OLEVSKYI RAION,47028.0
POPILNIANSKYI,97.33,2.08,,POPILNIANSKYI RAION,37082.0
RADOMYSHLSKYI,97.24,2.54,,RADOMYSHLSKYI RAION,42259.0
RUZHYNSKYI,98.68,1.09,,RUZHYNSKYI RAION,34372.0
CHERVONOARMIISKYI,98.25,1.48,,CHERVONOARMIISKYI RAION,25964.0
CHERNIAKHIVSKYI,98.58,1.26,,CHERNIAKHIVSKYI RAION,33668.0
CHUDNIVSKYI,97.8,1.99,,CHUDNIVSKYI RAION,43248.0
uzhhorodska,77.55,12.4,,m. UZHHOROD,115568.0
BEREHOVE,38.43,6.29,,BEREHOVE (miskrada),26554.0
mukachivska,77.63,10.72,,m. MUKACHEVE,81637.0
KHUST,90.98,3.83,,KHUST (miskrada),31864.0
BEREHIVSKYI,18.83,0.75,,BEREHIVSKYI RAION,54062.0
VELYKOBEREZNIANSKYI,98.98,0.63,,VELYKOBEREZNIANSKYI RAION,28211.0
VYNOHRADIVSKYI,71.98,1.28,,VYNOHRADIVSKYI RAION,117957.0
VOLOVETSKYI,99.14,0.65,,VOLOVETSKYI RAION,25474.0
IRSHAVSKYI,99.01,0.65,,IRSHAVSKYI RAION,100905.0
MIZHHIRSKYI,99.27,0.45,,MIZHHIRSKYI RAION,49890.0
MUKACHIVSKYI,84.22,0.72,,MUKACHIVSKYI RAION,101443.0
PERECHYNSKYI,96.6,1.28,,PERECHYNSKYI RAION,32026.0
RAKHIVSKYI,84.63,0.89,,RAKHIVSKYI RAION,90945.0
SVALIAVSKYI,97.28,1.58,,SVALIAVSKYI RAION,54869.0
TIACHIVSKYI,83.52,1.06,,TIACHIVSKYI RAION,171850.0
UZHHORODSKYI,58.89,2.47,,UZHHORODSKYI RAION,74399.0
KHUSTSKYI,95.21,0.84,,KHUSTSKYI RAION,96960.0
zaporizka,41.7,56.77,,ZAPORIZHZHIA (miskrada),813250.0
berdianska,24.18,75.05,,BERDIANSK (miskrada),125026.0
melitopolska,20.42,78.14,,m. MELITOPOL,160352.0
tokmatska,70.25,29.35,,m. TOKMAK,36760.0
enerhodarska,37.81,61.69,,m. ENERHODAR,56180.0
iakymivskyi,42.52,55.11,,YAKYMIVSKYI RAION,38071.0
BERDIANSKYI,68.52,27.75,,BERDIANSKYI RAION,31697.0
VASYLIVSKYI,70.78,28.41,,VASYLIVSKYI RAION,74864.0
VELYKOBILOZERSKYI,93.72,5.81,,VELYKOBILOZERSKYI RAION,9363.0
VESELIVSKYI,70.52,28.15,,VESELIVSKYI RAION,25656.0
VILNIANSKYI,84.72,14.7,,VILNIANSKYI RAION,50689.0
HULIAIPILSKYI,94.13,5.22,,HULIAIPILSKYI RAION,34290.0
ZAPORIZKYI,83.85,15.43,,ZAPORIZKYI RAION,54804.0
KAMIANSKO-DNIPROVSKYI,44.48,54.68,,KAMIANSKO-DNIPROVSKYI RAION,45819.0
KUIBYSHEVSKYI,89.12,10.15,,KUIBYSHEVSKYI RAION,27600.0
MELITOPOLSKYI,39.35,58.24,,MELITOPOLSKYI RAION,56326.0
MYKHAILIVSKYI,67.08,31.82,,MYKHAILIVSKYI RAION,33079.0
novomykola‹vskyi,93.78,5.76,,NOVOMYKOLAIVSKYI RAION,19580.0
ORIKHIVSKYI,91.37,8.17,,ORIKHIVSKYI RAION,54462.0
POLOHIVSKYI,92.87,6.54,,POLOHIVSKYI RAION,48043.0
PRYAZOVSKYI,37.36,53.31,,PRYAZOVSKYI RAION,32931.0
PRYMORSKYI,32.47,55.18,,PRYMORSKYI RAION,35284.0
ROZIVSKYI,82.43,16.95,,ROZIVSKYI RAION,11997.0
TOKMATSKYI,79.93,19.47,,TOKMATSKYI RAION,28486.0
CHERNIHIVSKYI,93.54,5.92,,CHERNIHIVSKYI RAION,22201.0
CHERNIHIVSKYI,93.54,5.92,,CHERNIHIVSKYI RAION,61463.0
ivano-frankivska,92.65,6.38,,IVANO-FRANKIVSK (miskrada),230443.0
BOLEKHIV,99.14,0.67,,BOLEKHIV (miskrada),21232.0
KALUSH,95.33,3.19,,m. KALUSH,67887.0
KOLOMYIA,93.11,5.0,,m. KOLOMYIA,61448.0
iaremchanska,99.17,0.63,,YAREMCHE (miskrada),20821.0
BOHORODCHANSKYI,99.63,0.31,,BOHORODCHANSKYI RAION,70212.0
VERKHOVYNSKYI,99.64,0.32,,VERKHOVYNSKYI RAION,30079.0
HALYTSKYI,99.01,0.86,,HALYTSKYI RAION,65640.0
HORODENKIVSKYI,99.59,0.32,,HORODENKIVSKYI RAION,60881.0
