Name,Ukrainian,Russian,Notes,prev_name,Whole population
RADYVYLIVSKYI,99.11,0.74,,RADYVYLIVSKYI RAION,40033.0
sumska,77.44,20.21,,SUMY (miskrada),294852.0
okhtyrska,87.11,9.95,,OKHTYRKA (miskrada),50036.0
HLUKHIV,83.29,16.4,,HLUKHIV (miskrada),35244.0
konotopska,86.41,12.96,,KONOTOP (miskrada),96365.0
LEBEDYN,93.3,6.46,,LEBEDYN (miskrada),29569.0
romenska,93.98,5.67,,ROMNY (miskrada),49935.0
shostkinska,60.81,35.74,,m. SHOSTKA,87200.0
OKHTYRSKYI,96.22,3.26,,OKHTYRSKYI RAION,31206.0
BILOPILSKYI,93.83,5.35,,BILOPILSKYI RAION,61064.0
BURYNSKYI,96.87,2.53,,BURYNSKYI RAION,36933.0
VELYKOPYSARIVSKYI,72.63,26.98,,VELYKOPYSARIVSKYI RAION,27222.0
HLUKHIVSKYI,78.14,21.68,,HLUKHIVSKYI RAION,32209.0
KONOTOPSKYI,97.4,2.18,,KONOTOPSKYI RAION,39567.0
KRASNOPILSKYI,93.03,6.49,,KRASNOPILSKYI RAION,34113.0
KROLEVETSKYI,95.77,3.81,,KROLEVETSKYI RAION,46752.0
LEBEDYNSKYI,96.06,3.5,,LEBEDYNSKYI RAION,27868.0
LYPOVODOLYNSKYI,97.73,1.85,,LYPOVODOLYNSKYI RAION,23498.0
NEDRYHAILIVSKYI,97.73,1.87,,NEDRYHAILIVSKYI RAION,31321.0
PUTYVLSKYI,38.68,61.02,,PUTYVLSKYI RAION,34401.0
ROMENSKYI,97.6,2.02,,ROMENSKYI RAION,46328.0
SEREDYNO-BUDSKYI,20.75,79.11,,SEREDYNO-BUDSKYI RAION,20955.0
SUMSKYI,93.82,5.49,,SUMSKYI RAION,62800.0
TROSTIANETSKYI,86.11,13.27,,TROSTIANETSKYI RAION,42530.0
TROSTIANETSKYI,86.11,13.27,,TROSTIANETSKYI RAION,42134.0
shostkinskyi,86.51,12.93,,SHOSTKYNSKYI RAION,24749.0
iampilskyi,82.53,16.89,,YAMPILSKYI RAION,47669.0
iampilskyi,82.53,16.89,,YAMPILSKYI RAION,30442.0
ternopilska,94.8,3.37,,m. TERNOPIL,226029.0
BEREZHANSKYI,99.26,0.64,,BEREZHANSKYI RAION,44477.0
BORSHCHIVSKYI,99.15,0.65,,BORSHCHIVSKYI RAION,75358.0
BUCHATSKYI,99.62,0.27,,BUCHATSKYI RAION,65078.0
HUSIATYNSKYI,99.39,0.44,,HUSIATYNSKYI RAION,66803.0
ZALISHCHYTSKYI,99.47,0.45,,ZALISHCHYTSKYI RAION,52915.0
ZBARAZKYI,98.32,1.55,,ZBARAZKYI RAION,60349.0
ZBORIVSKYI,99.68,0.23,,ZBORIVSKYI RAION,47040.0
KOZIVSKYI,99.64,0.28,,KOZIVSKYI RAION,41841.0
KREMENETSKYI,98.69,1.11,,KREMENETSKYI RAION,73190.0
LANOVETSKYI,99.16,0.66,,LANOVETSKYI RAION,33294.0
MONASTYRYSKYI,99.62,0.3,,MONASTYRYSKYI RAION,34537.0
PIDVOLOCHYSKYI,99.48,0.36,,PIDVOLOCHYSKYI RAION,46309.0
PIDHAIETSKYI,99.83,0.13,,PIDHAIETSKYI RAION,22913.0
TEREBOVLIANSKYI,99.4,0.5,,TEREBOVLIANSKYI RAION,70185.0
TERNOPILSKYI,99.53,0.36,,TERNOPILSKYI RAION,60810.0
CHORTKIVSKYI,98.27,1.53,,CHORTKIVSKYI RAION,80861.0
SHUMSKYI,99.44,0.47,,SHUMSKYI RAION,36511.0
kharkivska,31.77,65.86,,m. KHARKIV,1449871.0
iziumska,74.22,23.77,,m. IZIUM,56075.0
kupianska,69.28,25.58,,KUPIANSK (miskrada),62705.0
lozivska,77.21,17.56,,LOZOVA (miskrada),73707.0
LIUBOTYN,86.1,12.59,,LIUBOTYN (miskrada),26805.0
PERVOMAISKYI,42.83,52.65,,PERVOMAISKYI (miskrada),33319.0
chuhu‹vska,29.64,69.52,,CHUHUIV (miskrada),37348.0
BALAKLIISKYI,70.38,28.91,,BALAKLIISKYI RAION,92794.0
BARVINKIVSKYI,91.24,7.75,,BARVINKIVSKYI RAION,32060.0
BLYZNIUKIVSKYI,92.1,6.74,,BLYZNIUKIVSKYI RAION,25768.0
BOHODUKHIVSKYI,93.65,5.55,,BOHODUKHIVSKYI RAION,47560.0
BORIVSKYI,91.52,8.14,,BORIVSKYI RAION,21228.0
VALKIVSKYI,94.23,5.23,,VALKIVSKYI RAION,36808.0
VELYKOBURLUTSKYI,71.82,27.32,,VELYKOBURLUTSKYI RAION,28287.0
VOVCHANSKYI,85.72,13.16,,VOVCHANSKYI RAION,54569.0
zmiïvskyi,76.38,22.49,,ZMIIVSKYI RAION,81307.0
DVORICHANSKYI,84.17,15.02,,DVORICHANSKYI RAION,22323.0
DERHACHIVSKYI,78.08,21.26,,DERHACHIVSKYI RAION,98521.0
ZACHEPYLIVSKYI,83.95,14.89,,ZACHEPYLIVSKYI RAION,19059.0
ZOLOCHIVSKYI,85.66,13.34,,ZOLOCHIVSKYI RAION,74686.0
ZOLOCHIVSKYI,85.66,13.34,,ZOLOCHIVSKYI RAION,34052.0
IZIUMSKYI,91.67,7.47,,IZIUMSKYI RAION,22256.0
KEHYCHIVSKYI,92.05,5.45,,KEHYCHIVSKYI RAION,23459.0
KOLOMATSKYI,94.01,4.46,,KOLOMATSKYI RAION,9038.0
KRASNOHRADSKYI,77.16,21.9,,KRASNOHRADSKYI RAION,49224.0
KRASNOKUTSKYI,94.92,4.35,,KRASNOKUTSKYI RAION,33122.0
KUPIANSKYI,88.94,10.38,,KUPIANSKYI RAION,29882.0
LOZIVSKYI,88.51,10.74,,LOZIVSKYI RAION,34551.0
NOVOVODOLAZKYI,77.69,21.52,,NOVOVODOLAZKYI RAION,40888.0
PERVOMAISKYI,58.16,41.17,,PERVOMAISKYI RAION,40367.0
PERVOMAISKYI,58.16,41.17,,PERVOMAISKYI RAION,37203.0
PERVOMAISKYI,58.16,41.17,,PERVOMAISKYI RAION,19999.0
PECHENIZKYI,92.75,6.87,,PECHENIZKYI RAION,11827.0
SAKHNOVSHCHYNSKYI,94.4,4.54,,SAKHNOVSHCHYNSKYI RAION,26448.0
KHARKIVSKYI,63.88,35.16,,KHARKIVSKYI RAION,186586.0
chuhu‹vskyi,45.23,53.87,,CHUHUIVSKYI RAION,51077.0
SHEVCHENKIVSKYI,91.23,7.75,,SHEVCHENKIVSKYI RAION,23290.0
khersonska,56.2,42.52,,KHERSON (miskrada),362307.0
KAKHOVKA,73.85,25.27,,m. KAKHOVKA,38166.0
novokahovska,58.84,40.3,,NOVA KAKHOVKA (miskrada),75392.0
BILOZERSKYI,87.83,10.61,,BILOZERSKYI RAION,68395.0
BERYSLAVSKYI,89.91,9.04,,BERYSLAVSKYI RAION,55976.0
VELYKOOLEKSANDRIVSKYI,94.53,4.32,,VELYKOOLEKSANDRIVSKYI RAION,31366.0
VELYKOLEPETYSKYI,90.66,8.5,,VELYKOLEPETYSKYI RAION,20798.0
VERKHNOROHACHYTSKYI,93.4,5.66,,VERKHNOROHACHYTSKYI RAION,14303.0
VYSOKOPILSKYI,94.25,4.93,,VYSOKOPILSKYI RAION,17967.0
HENICHESKYI,46.02,45.0,,HENICHESKYI RAION,66287.0
HOLOPRYSTANSKYI,86.56,11.86,,HOLOPRYSTANSKYI RAION,64620.0
hornosta‹vskyi,94.0,4.73,,HORNOSTAIVSKYI RAION,22068.0
IVANIVSKYI,90.15,7.05,,IVANIVSKYI RAION,29658.0
IVANIVSKYI,90.15,7.05,,IVANIVSKYI RAION,18037.0
KALANCHATSKYI,88.78,9.55,,KALANCHATSKYI RAION,25938.0
KAKHOVSKYI,88.06,11.02,,KAKHOVSKYI RAION,40528.0
NYZHNOSIROHOZKYI,80.3,17.45,,NYZHNOSIROHOZKYI RAION,19823.0
NOVOVORONTSOVSKYI,95.6,3.76,,NOVOVORONTSOVSKYI RAION,25113.0
novotro‹tskyi,87.15,10.67,,NOVOTROITSKYI RAION,43131.0
SKADOVSKYI,80.56,17.72,,SKADOVSKYI RAION,49905.0
TSIURUPYNSKYI,82.12,16.74,,TSIURUPYNSKYI RAION,72272.0
CHAPLYNSKYI,83.78,8.93,,CHAPLYNSKYI RAION,40297.0
KHMELNYTSKYI,88.39,10.36,,m. KHMELNYTSKYI,251077.0
kamianets-podilska,91.22,7.08,,m. KAMIANETS-PODILSKYI,98873.0
NETISHYN,87.66,11.41,,m. NETISHYN,34267.0
SLAVUTA,92.34,7.23,,m. SLAVUTA,34278.0
shepetivska,93.46,5.69,,m. SHEPETIVKA,47988.0
STAROKOSTIANTYNIV,92.01,7.46,,m. STAROKOSTIANTYNIV,35015.0
BILOHIRSKYI,99.01,0.83,,BILOHIRSKYI RAION,66458.0
BILOHIRSKYI,99.01,0.83,,BILOHIRSKYI RAION,31707.0
VINKOVETSKYI,97.19,2.58,,VINKOVETSKYI RAION,31085.0
VOLOCHYSKYI,98.46,1.32,,VOLOCHYSKYI RAION,60610.0
HORODOTSKYI,98.46,0.98,,HORODOTSKYI RAION,73974.0
HORODOTSKYI,98.46,0.98,,HORODOTSKYI RAION,58348.0
DERAZHNIANSKYI,98.15,1.37,,DERAZHNIANSKYI RAION,38289.0
DUNAIEVETSKYI,98.43,1.28,,DUNAIEVETSKYI RAION,73276.0
IZIASLAVSKYI,97.0,2.77,,IZIASLAVSKYI RAION,54504.0
KAMIANETS-PODILSKYI,98.59,1.19,,KAMIANETS-PODILSKYI RAION,75506.0
KRASYLIVSKYI,98.35,1.39,,KRASYLIVSKYI RAION,61331.0
LETYCHIVSKYI,98.22,1.54,,LETYCHIVSKYI RAION,34588.0
NOVOUSHYTSKYI,96.48,3.29,,NOVOUSHYTSKYI RAION,36457.0
POLONSKYI,98.38,1.38,,POLONSKYI RAION,51366.0
SLAVUTSKYI,98.84,1.05,,SLAVUTSKYI RAION,37691.0
STAROKOSTIANTYNIVSKYI,98.6,1.12,,STAROKOSTIANTYNIVSKYI RAION,37459.0
STAROSYNIAVSKYI,98.66,0.79,,STAROSYNIAVSKYI RAION,24985.0
TEOFIPOLSKYI,98.88,0.77,,TEOFIPOLSKYI RAION,32247.0
KHMELNYTSKYI,95.82,1.96,,KHMELNYTSKYI RAION,54610.0
CHEMEROVETSKYI,99.12,0.76,,CHEMEROVETSKYI RAION,51009.0
SHEPETIVSKYI,97.9,1.74,,SHEPETIVSKYI RAION,40882.0
iarmolynetskyi,98.11,1.45,,YARMOLYNETSKYI RAION,39201.0
cherkaska,79.07,18.67,,CHERKASY (miskrada),293556.0
VATUTINE,91.87,7.79,,VATUTINE (miskrada),20845.0
kanivska,88.43,11.24,,m. KANIV,26735.0
ZOLOTONOSHA,92.79,6.32,,ZOLOTONOSHA (miskrada),29515.0
SMILA,89.1,10.13,,SMILA (miskrada),68710.0
umanska,93.27,6.38,,m. UMAN,87843.0
HORODYSHCHENSKYI,97.56,1.99,,HORODYSHCHENSKYI RAION,49201.0
DRABIVSKYI,98.01,1.56,,DRABIVSKYI RAION,42818.0
ZHASHKIVSKYI,98.11,1.5,,ZHASHKIVSKYI RAION,45483.0
ZVENYHORODSKYI,97.64,2.02,,ZVENYHORODSKYI RAION,53683.0
ZOLOTONISKYI,96.5,2.96,,ZOLOTONISKYI RAION,48831.0
KAMIANSKYI,96.78,2.97,,KAMIANSKYI RAION,35580.0
KANIVSKYI,96.95,2.75,,KANIVSKYI RAION,24843.0
KATERYNOPILSKYI,98.01,1.6,,KATERYNOPILSKYI RAION,28993.0
KORSUN-SHEVCHENKIVSKYI,96.57,2.5,,KORSUN-SHEVCHENKIVSKYI RAION,50052.0
LYSIANSKYI,98.29,1.42,,LYSIANSKYI RAION,28762.0
MANKIVSKYI,98.12,1.59,,MANKIVSKYI RAION,33196.0
MONASTYRYSHCHENSKYI,98.38,1.29,,MONASTYRYSHCHENSKYI RAION,40501.0
SMILIANSKYI,96.97,2.67,,SMILIANSKYI RAION,38370.0
TALNIVSKYI,97.66,1.77,,TALNIVSKYI RAION,43685.0
UMANSKYI,97.34,2.18,,UMANSKYI RAION,51500.0
KHRYSTYNIVSKYI,97.09,2.25,,KHRYSTYNIVSKYI RAION,39454.0
CHERKASKYI,96.84,2.91,,CHERKASKYI RAION,78346.0
CHORNOBAIVSKYI,97.29,2.27,,CHORNOBAIVSKYI RAION,49741.0
CHYHYRYNSKYI,95.46,3.63,,CHYHYRYNSKYI RAION,36111.0
SHPOLIANSKYI,97.74,1.8,,SHPOLIANSKYI RAION,51959.0
chernihivska,74.01,24.5,,m. CHERNIHIV,299038.0
nizhynska,89.54,8.89,,m. NIZHYN,76059.0
prylutska,92.91,6.77,,m. PRYLUKY,64069.0
BAKHMATSKYI,97.09,2.51,,BAKHMATSKYI RAION,55820.0
BOBROVYTSKYI,97.88,1.75,,BOBROVYTSKYI RAION,40993.0
BORZNIANSKYI,98.43,1.39,,BORZNIANSKYI RAION,43555.0
VARVYNSKYI,96.98,2.71,,VARVYNSKYI RAION,19974.0
HORODNIANSKYI,92.46,6.99,,HORODNIANSKYI RAION,36349.0
ICHNIANSKYI,97.83,2.0,,ICHNIANSKYI RAION,40945.0
KOZELETSKYI,95.77,3.84,,KOZELETSKYI RAION,61636.0
KOROPSKYI,97.8,2.02,,KOROPSKYI RAION,32139.0
KORIUKIVSKYI,96.93,2.81,,KORIUKIVSKYI RAION,33558.0
KULYKIVSKYI,97.97,1.71,,KULYKIVSKYI RAION,22472.0
MENSKYI,97.54,2.14,,MENSKYI RAION,45408.0
NIZHYNSKYI,98.51,1.34,,NIZHYNSKYI RAION,36708.0
NOVHOROD-SIVERSKYI,63.93,35.93,,NOVHOROD-SIVERSKYI RAION,36031.0
NOSIVSKYI,97.92,1.71,,NOSIVSKYI RAION,37439.0
PRYLUTSKYI,97.23,2.44,,PRYLUTSKYI RAION,45127.0
RIPKYNSKYI,87.64,11.4,,RIPKYNSKYI RAION,37547.0
SEMENIVSKYI,80.37,19.39,,SEMENIVSKYI RAION,32667.0
SEMENIVSKYI,80.37,19.39,,SEMENIVSKYI RAION,23465.0
SOSNYTSKYI,98.4,1.44,,SOSNYTSKYI RAION,24715.0
SRIBNIANSKYI,98.32,1.54,,SRIBNIANSKYI RAION,14534.0
talala‹vskyi,97.95,1.89,,TALALAIVSKYI RAION,16583.0
CHERNIHIVSKYI,95.42,4.04,,CHERNIHIVSKYI RAION,22201.0
CHERNIHIVSKYI,95.42,4.04,,CHERNIHIVSKYI RAION,61463.0
SHCHORSKYI,89.36,10.3,,SHCHORSKYI RAION,30438.0
CHERNIVTSI,79.2,15.27,,m. CHERNIVTSI,236691.0
NOVODNISTROVSK,85.67,13.37,,m. NOVODNISTROVSK,10344.0
VYZHNYTSKYI,98.52,1.03,,VYZHNYTSKYI RAION,59993.0
HERTSAIVSKYI,4.83,1.21,,HERTSAIVSKYI RAION,32316.0
HLYBOTSKYI,52.56,1.15,,HLYBOTSKYI RAION,72676.0
zastavnetskyi,99.22,0.59,,ZASTAVNIVSKYI RAION,56261.0
KELMENETSKYI,97.75,1.32,,KELMENETSKYI RAION,48468.0
KITSMANSKYI,98.83,0.9,,KITSMANSKYI RAION,72884.0
novoselitskyi,34.08,1.78,,NOVOSELYTSKYI RAION,87461.0
PUTYLSKYI,99.47,0.37,,PUTYLSKYI RAION,25352.0
SOKYRIANSKYI,90.42,6.4,,SOKYRIANSKYI RAION,48889.0
STOROZHYNETSKYI,61.42,1.81,,STOROZHYNETSKYI RAION,95295.0
KHOTYNSKYI,91.57,1.27,,KHOTYNSKYI RAION,72398.0
KYIV,72.15,25.27,,m. KYIV,2566953.0
holosiïvskyi,75.93,22.17,,"HOLOSIIVSKYI raion, m. KYIV",
DARNYTSKYI,77.91,20.53,,"DARNYTSKYI raion, m. KYIV",
DESNIANSKYI,74.74,23.42,,"DESNIANSKYI raion, m. KYIV",
DNIPROVSKYI,71.9,27.1,,"DNIPROVSKYI raion, m. KYIV",
OBOLONSKYI,70.31,23.6,,"OBOLONSKYI raion, m. KYIV",
PECHERSKYI,60.23,30.67,,"PECHERSKYI raion, m. KYIV",
PODILSKYI,73.94,25.03,,"PODILSKYI raion, m. KYIV",
SVIATOSHYNSKYI,77.16,21.51,,"SVIATOSHYNSKYI raion, m. KYIV",
SOLOMIANSKYI,67.51,30.47,,"SOLOMIANSKYI raion, m. KYIV",
SHEVCHENKIVSKYI,64.65,32.14,,"SHEVCHENKIVSKYI raion, m. KYIV",
SEVASTOPOL,6.76,90.56,,SEVASTOPOL (miskrada),377153.0
SEVASTOPOL,6.48,91.41,, m. SEVASTOPOL,
BALAKLAVSKYI,8.64,89.29,,"BALAKLAVSKYI raion, m. SEVASTOPOL",
HAHARINSKYI,6.27,91.56,,"HAHARINSKYI raion, m. SEVASTOPOL",
LENINSKYI,5.95,91.52,,"LENINSKYI raion, m. SEVASTOPOL",
NAKHIMOVSKYI,6.80,91.7,,"NAKHIMOVSKYI raion, m. SEVASTOPOL",
INKERMAN,5.23,91.17,, m. INKERMAN,
KACHA,5.14,94.04,, smt KACHA,
VYSHNEVE,6.58,74.84,, s. VYSHNEVE,
ORLIVKA,15.15,76.09,, s. ORLIVKA,
OSYPENKO,12.35,83.88,, s. OSYPENKO,
POLIUSHKO,13.35,53.42,, s. POLIUSHKO,
ORLYNIVSKA,12.42,74.71,,ORLYNIVSKA silrada,
ORLYNE,7.74,75.35,, s. ORLYNE,
HONCHARNE,26.09,62.42,, s. HONCHARNE,
KYZYLOVE,15.15,84.85,, s. KYZYLOVE,
KOLKHOZNE,0.0,88.89,, s. KOLKHOZNE,
NOVOBOBRIVSKE,12.50,65.54,, s. NOVOBOBRIVSKE,
OZERNE,1.66,98.34,, s. OZERNE,
PAVLIVKA,17.56,77.52,, s. PAVLIVKA,
PEREDOVE,17.22,69.61,, s. PEREDOVE,
PIDHIRNE,1.61,82.26,, s. PIDHIRNE,
REZERVNE,19.40,78.36,, s. REZERVNE,
RODNYKIVSKE,6.41,79.03,, s. RODNYKIVSKE,
ROZSOSHANKA,1.64,95.9,, s. ROZSOSHANKA,
TYLOVE,9.97,81.44,, s. TYLOVE,
SHYROKE,16.51,69.5,, s. SHYROKE,
TERNIVSKA,13.94,68.91,,TERNIVSKA silrada,
TERNIVKA,13.39,73.62,, s. TERNIVKA,
RIDNE,15.37,56.64,, s. RIDNE,
ANDRIIVSKA,13.53,85.14,,ANDRIIVSKA silrada,
ANDRIIVKA,5.52,93.89,, s. ANDRIIVKA,
SONIACHNYI,21.20,76.77,, s-shche SONIACHNYI,
VERKHNOSADIVSKA,10.52,81.43,,VERKHNOSADIVSKA silrada,
VERKHNOSADOVE,9.48,83.54,, s. VERKHNOSADOVE,
DALNIE,15.67,83.37,, s. DALNIE,
KAMYSHLY,16.67,50.0,, s. KAMYSHLY,
PYROHOVKA,6.34,89.43,, s. PYROHOVKA,
POVOROTNE,14.22,71.55,, s. POVOROTNE,
FRONTOVE,11.95,70.68,, s. FRONTOVE,
FRUKTOVE,8.08,91.73,, s. FRUKTOVE,
krasnolymanska,47.34,51.45,Mykolaivka,,
n.a. ( 394),52.4,46.6,Chasiv Yar,,
n.a. ( 384),54.84,44.8,Novodonetske,,
n.a. ( 319),65.49,33.96,Sviatohirsk,,
n.a. ( 182),56.2,40.1,Hirske urban hromada,,
n.a. ( 181),13.46,86.08,Olkhovatka,,
n.a. ( 511),52.4,44.1,Khartsyzk,,
n.a. ( 493),19.08,80.25,Rozsypne,,
n.a. ( 488),48.3,47.4,zhdanivka,,
n.a. ( 180),,,Part of kharkiv raion,,
